date,game_id,team,score,2_point,3_point,free_draw,assist,offense,defense,steal,block,foul
2015. 10. 4,2.0151004653027E+017,오리온스,86,0.67,0.44,0.9,16,6,22,2,2,17
2016. 2. 14,2.0160214105527E+018,모비스,65,0.35,0.44,0.54,17,13,22,11,2,16
2016. 2. 14,2.0160214105527E+018,SK,54,0.44,0.2,0.65,9,9,33,7,5,18
2015. 10. 9,2.0151009307027E+017,오리온스,87,0.5,0.33,0.88,25,15,25,14,2,18
2015. 10. 9,2.0151009307027E+017,KGC 인삼공사,77,0.51,0.4,0.69,18,7,19,9,3,20
2015. 10. 31,2.0151031655027E+017,전자랜드,114,0.57,0.42,0.62,24,13,22,10,8,23
2015. 10. 31,2.0151031655027E+017,LG,112,0.51,0.33,0.87,26,17,26,4,3,24
2015. 12. 1,2.0151201557027E+018,SK,81,0.46,0.44,0.5,19,15,32,6,7,16
2015. 12. 1,2.0151201557027E+018,KGC 인삼공사,65,0.49,0.12,0.67,8,9,22,8,5,16
2015. 9. 13,2.0150913551027E+016,SK,58,0.47,0.21,0.45,8,7,18,4,0,19
2015. 9. 13,2.0150913551027E+016,모비스,87,0.58,0.39,0.75,21,8,29,8,3,16
2015. 9. 25,2.0150925106027E+017,모비스,73,0.63,0.33,0.71,13,5,16,5,2,18
2015. 9. 25,2.0150925106027E+017,KCC,86,0.7,0.2,0.75,12,7,19,9,0,22
2015. 10. 16,2.0151016506027E+017,LG,82,0.58,0.33,0.75,18,10,20,8,1,20
2015. 10. 16,2.0151016506027E+017,KCC,78,0.52,0.33,0.79,10,13,23,8,2,16
2015. 10. 25,2.0151025551627E+017,SK,62,0.43,0.32,0.69,14,7,22,10,2,17
2015. 10. 25,2.0151025551627E+017,동부,65,0.5,0.25,0.67,18,8,26,11,3,18
2015. 12. 10,2.0151210357027E+018,삼성,93,0.6,0.42,0.77,24,8,28,6,5,24
2015. 12. 10,2.0151210357027E+018,KGC 인삼공사,83,0.45,0.3,0.69,14,13,18,8,3,26
2016. 1. 14,2.0160114166527E+018,동부,81,0.51,0.5,0.58,19,9,22,3,0,22
2016. 1. 14,2.0160114166527E+018,전자랜드,85,0.57,0.3,0.67,19,14,22,8,1,25
2016. 1. 29,2.0160129655527E+018,전자랜드,85,0.48,0.44,0.78,17,12,21,11,2,20
2016. 1. 29,2.0160129655527E+018,SK,91,0.52,0.56,0.72,16,10,21,10,5,18
2016. 1. 30,2.0160130061627E+018,KT,74,0.52,0.33,0.54,17,11,21,6,5,18
2016. 1. 30,2.0160130061627E+018,동부,71,0.44,0.36,0.67,17,17,20,8,0,27
2016. 2. 21,2.0160221163527E+018,동부,83,0.57,0.33,0.67,20,6,22,11,1,19
2016. 2. 21,2.0160221163527E+018,삼성,76,0.54,0.21,0.84,9,15,23,5,4,22
2015. 12. 9,2.0151209306027E+018,오리온스,68,0.47,0.26,0.63,16,14,17,7,3,19
2015. 12. 9,2.0151209306027E+018,KCC,67,0.51,0.29,0.63,10,14,29,4,1,19
2016. 2. 19,2.0160219506527E+018,LG,75,0.5,0.28,0.76,11,9,23,8,2,16
2016. 2. 19,2.0160219506527E+018,전자랜드,62,0.33,0.42,0.75,14,11,21,2,2,18
2015. 11. 29,2.0151129066027E+018,KT,69,0.43,0.36,0.69,16,11,23,9,0,14
2015. 11. 29,2.0151129066027E+018,KCC,77,0.51,0.44,0.72,18,10,27,4,3,15
2015. 11. 1,2.0151101601027E+017,KCC,82,0.47,0.32,0.92,18,7,19,4,2,19
2015. 11. 1,2.0151101601027E+017,모비스,79,0.56,0.35,0.67,14,10,29,0,1,22
2015. 12. 19,2.0151219600627E+018,KCC,84,0.59,0.32,0.74,18,9,23,9,3,19
2015. 12. 19,2.0151219600627E+018,KT,71,0.47,0.38,0.57,18,9,24,9,1,21
2015. 9. 27,2.0150927061027E+017,KT,73,0.43,0.29,0.9,11,13,23,3,4,22
2015. 9. 27,2.0150927061027E+017,모비스,83,0.49,0.38,0.61,19,12,18,5,4,21
2015. 12. 3,2.0151203063027E+018,KT,95,0.55,0.56,0.87,19,11,27,7,1,20
2015. 12. 3,2.0151203063027E+018,오리온스,85,0.55,0.35,0.88,17,7,18,9,1,16
2015. 11. 21,2.0151121503027E+018,LG,70,0.55,0.25,0.85,17,7,22,6,1,22
2015. 11. 21,2.0151121503027E+018,오리온스,74,0.51,0.37,0.77,16,5,23,10,4,16
2016. 2. 10,2.0160210305527E+018,오리온스,78,0.57,0.4,0.57,19,8,20,11,2,13
2016. 2. 10,2.0160210305527E+018,SK,69,0.43,0.33,0.89,16,14,20,9,0,16
2015. 11. 19,2.0151119106027E+018,모비스,85,0.74,0.32,0.73,22,8,25,6,5,16
2015. 11. 19,2.0151119106027E+018,KCC,66,0.54,0.26,0.69,10,7,14,7,1,19
2016. 1. 16,2.0160116653527E+018,전자랜드,67,0.46,0.26,0.78,11,11,18,7,1,18
2016. 1. 16,2.0160116653527E+018,삼성,71,0.57,0.4,0.58,15,8,29,4,2,16
2016. 2. 9,2.0160209506027E+018,LG,80,0.45,0.19,0.86,12,14,23,5,2,21
2016. 2. 9,2.0160209506027E+018,KCC,85,0.48,0.28,0.96,14,15,28,5,5,24
2016. 1. 10,2.01601107172271E+016,올스타,102,0.53,0.37,0.75,29,14,28,8,1,3
2016. 1. 10,2.01601107172271E+016,올스타,107,0.63,0.32,0.67,29,10,35,9,2,6
